课程名称,授课老师,课程内容,考勤与平时作业,考核方式,课程成绩
大学物理,沈黄晋,大学物理课程相关内容,有签到 多得很 事情很多,考试ksksksks考试啊,88
大学英语1,钱妍,老师人很温柔呜呜呜大家可冲,会有2－3次小组pre，1次个人pre，3篇作文,50平时分（不用做we learn主要看视听说），50期末,88
大英,何发兵,神！！！大英给分顶尖选手，不评价，冲,大英是必须去的，可能有1次pre，所有平时成绩90起评,考试50，平时基本给满，但是一个班有规定只能一个满绩，很多85,87
高等数学C1,童欣,老师讲的很细致！作业量不多，给分也很不错,无签到，作业不多，一次期中但不计分,芝士全校的统一期末考试,94
高数,冯慧,如果你想及格可以选，高分速run,不考勤 不看作业 没提问 事极少,考试。。。。。。。。。,84
军理,唐蓉,这课你懂得，给分是军理里面最低的，速去何华爹的,无考勤，两次报告，有期中（服了）,看心情给，满的不多，很迷,90
军事理论与训练,唐蓉,老师上课的ppt内容很丰富，讲课也很有趣，还会放很多视频，但整体并没有脱离教材，还会划重点,有一次小组展示，5-6人一组，我们当时是以“安全”为话题作ppt或者视频展示。上课时不时会问问题，让同学们在群里发消息交流。有一次期中开卷考试，不过很简单不用担心。老师给分很好，期末闭卷，但我只背了1个小时最后总评94，只能说老师绝对是神！,期末闭卷考试，可能会直接给题库或者复习资料、范围之类的,94
中国近代史纲要,谭卫元,老师边海院的，人很厉害，课就差点意思。做个任务多,3分钟扫码签到，不能翘课,学校统一组织期末考试,90
概率论与数理统计,刘艳,刘老师人很好，讲述很清晰,每周交一次作业，正常批改,闭卷考试，考题比较简单,98
高等数学,羿旭明,老师特别好！讲的很仔细而且不签到,每周两次作业 这学期没签过到,学校统一闭卷考试安排,75
大学生心理健康,李杰,上课内容还可以，有一些小组活动游戏,有签到，跟其他老师相比有很多作业，比较麻烦,期末考试 ，但因为疫情22级上学期是论文,90
高等数学C1,汪春晖,高数C1，老师很好很佛系,三次随机考勤，每周作业,平时+签到+考核，学校统一吧,97
高等数学A1,李大美,讲课很好，没有回答问题，但卡绩,两周交一次作业（可以迟交）,平时成绩（作业）+期末考试,89
马克思主义原理,谭兴林,新老师 但是狠神仙 她是真的想让学生们听懂什么 给分嘛 还没出成绩,她考勤还是比较严格的 会提问,马原当然是闭卷考试了,0
线性代数c,李小山,老师讲的很好很细，期末会捞,无签到，有小测和作业,全校统一闭卷考试，会捞,81
高等数学,李大美,老师讲课很通俗易懂，上课也还比较有趣的,没有签到任务，作业是隔一周交一次，考试老师不会自己多安排，都是按学院的必须的考试安排来,考试成绩不低于五十五,88
军理,戴新武,很可以水的一门课，中期一次纸质签到签到上就没事了,课程中期一次签到，一次小论文,统一考试，闭卷，但提前发答案范围,90
高等数学C,冯慧,有趣老头讲课比较清晰，偶尔吹水,记得是每周一次作业，以课后题为主,第十七十八周统一结课考试,98
军理,戴新武,老师是个很好很温柔的爷爷 爷爷上课这学期一次签到（是看人太少了就签一次）上课不要求听,爷爷上课这学期一次签到（是看人太少了就签一次）上课不要求听 有一次读后感（看论持久战什么之类的其中选一篇写 其他不记得了）期末闭卷考试 提问忘记了（估计有也不多 反正没什么印象）,闭卷考试 反正就好好背吧hhh 老师有在群里发资料,95
高等数学,汪玉峰,老师讲得很好，给分也很好。,平时不会点名，每次有作业，会有期中考试。,统一参加期末考试即可,90
大学生心理健康,齐华勇,讲的还算可以，是在认真授课。,只有三次平时作业，但一定要认真完成,开卷考试，平时作业加期末成绩,84
高等数学c1,李小山,赶紧抢!冲啊 小山哥超级好,总结:冲!给我冲! 非常好的老师 很自由,期末 期中考  老师很lao,100
线性代数C,涂振汉,老师口音非常重。并且期末考试全程他都在大声讲话，注意力不容易集中的同学勿选。,不点到。但是用作业查缺勤状况。,会捞平时分。但是他容易低估考试的难度。所以自由心证。,100
C语言,蒋华,老师讲课挺好，有时候会提前让我们去吃饭,两周交一次作业，没有期末大作业,参加C语言考试，做一下往年的题就好,91
线性代数B,王茂发,上课压力怪，老点名，讲课速度稍快,有提问，有平时作业，偶尔签到,考试考试考试考试考试,70
高等数学,刘恒兴,高数课程，老师给分很好,不点名不签到不提问老师很温柔,就是正常高数期末考试，老师会在考前透露一点点信息,95
