course_name,course_attribute,elective_field,instructor,content,attendance,assessment,grade
计算机系统基础,专业课程,,龚奕利,CSAPP第2、3、5、7章节，龚老师上课非常好，讲的非常清楚（虽然这课很难），而且期末巨捞人,课后习题+3个Lab（难度较大），微助教签到,闭卷考试,95
会计学,专业课程,,周楷唐,老师讲得很好，会扩展课外知识,三次作业，有案例分析,统一考试,Unknown
大物,公共课,,程莉,好,好,好,Unknown
基础化学D,专业课程,,袁良杰,讲PPT,有一两次考勤和平时作业,闭卷期末,88
马克思主义基本原理,公共课,,田超伟,主要是高中哲学部分内容和政治经济学的内容,平时课上有提问，但是给分挺好的,慕课成绩和期末老师，老师会捞的,95
素质体育1,体育课,,冉启明,很好,easy,乐跑，太极，800+50+立定跳,Unknown
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,很有趣，天文知识,无,开卷电子设备可用,Unknown
东方文学,专业课程,,陈溪,讲东方文学相关，讲的挺好的，当跨专很合适,小组合作研究一个主题，老师上课叫人回答问题,小组作业，期末论文,91
数学分析,专业课程,,乔晖,难,无考勤,闭卷考试,Unknown
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,内容充实,不考勤，无平时作业,试卷考试,92
疫苗与健康,通识选修课（公选课）,科学精神与生命关怀,刘万红,讲疫苗发展史 分小组研究,较少 偶尔点名 要求完成一篇推文计入总评,开卷考试,93
素质体育2,体育课,,李凯,老师上课会讲相关的体育知识和锻炼身体的知识，重在体育素养知识，需要认真听能加分，给分很好,会不定期考勤,一般的体育测试加老师自己的测试,94
线性代数,公共课,,涂振汉,口音很重但是讲的很好，很有责任心的老教授，给分也还可以（我被卡了应该是我考的实在太差捞到84不容易了）,不考勤，平时作业不收,考试,84
疫苗与健康,通识选修课（公选课）,科学精神与生命关怀,刘万红,小组,偶尔点名,开卷考试,90
毛概,公共课,,李美幸,好,无,闭卷,Unknown
水科学与人类生存,通识选修课（公选课）,科学精神与生命关怀,肖益民,讲一些与水有关的各种知识，会有翻转课堂,每节课都有签到码签到，每节课都有作业，来源于学习通上的ppt和视频,论文,92
天体物理,专业课程,,王伟,讲天体物理的相关内容,无考勤与平时作业,交一篇与天体物理相关的内容，不限主题与字数，不查重，给分特别好,97
素质体育,体育课,,王永志,老师人很好 上课轻松,有考勤 小组长打平时分,跳远 五十米 篮球 排球 乐跑,Unknown
定向越野二,体育课,,许少锋,偏竞赛风，兼顾团队定向越野和个人定向越野，收获很多，体力消耗也很大。,由于中间有几次每次上课就会出分，没有单独的考勤。,平时的四次考核，期末设计一条路线，50m和立定跳远。,93
世界桥梁建筑艺术赏析,通识选修课（公选课）,艺术体验与审美欣赏,万臻,上课带着看ppt，小班会点人回答问题，但是不管回答的怎么样，只要说出自己的理解就可以，老师人很好，平时来上课基本就满绩,期中有一个1000字读书报告，不会点名，但是会点人回答问题（小班,小组交一份作品（报告，短视频什么形式都可以,Unknown
线性代数A,公共课,,龚亚方,正常线性代数内容，老师讲的很详细，每节课也都会讲几道重要的题目，但是声音有点听不太清。,偶尔签到，每周有不少作业。,全校统一期末考试,100
1,体育课,,1,q,1,1,12
编剧基础,专业课程,,彭万荣,讲课狗屁不通 助教点名 ,写一些练习,剧本 都是助教看助教给分 看你能不能搞好助教的关系,Unknown
性传播疾病与青春期健康,通识选修课（公选课）,科学精神与生命关怀,熊海蓉,老师很好，会有几次随机考勤，水水的,两次考勤和最后一次小组pre,论文结课,95
宇宙新概念,通识选修课（公选课）,科学精神与生命关怀,赵江南,老师很好，上课很有趣,无,期末开卷,Unknown
思想政治教育方法论,专业课程,,项久雨,讲授思想政治教育的方法，比较理论化，比较无聊,有小组pre,闭卷考试,Unknown
软件需求与建模,专业课程,,王翀,平时事情比较多，基本每节课都有课上练习题，给分还可以,有上课随机点名和抽人回答问题，基本每节课都有课上练习，和每周的作业,闭卷考试，容范围比较固定，答案比较开放,95
大学文明历程,通识选修课（公选课）,中华文化与世界文明,黄明东,签到很多，期末要交课堂笔记（考核一部分），考核是交1000手写论文（考试当堂写，可以带电脑，提前写好直接copy）。出成绩慢。,每节课签到，平时没作业，但是期末交课堂笔记,开卷1000以上论文，带电脑当堂写（可以提前写好copy），选题提前通知，自由选择,Unknown
流行舞蹈,体育课,,肖娟,非常好！,要考勤，个人展示,跳完一套教学舞蹈，自己找音乐,91
测绘学概论,专业课程,,好几个院士,很好！给分很好，结课手抄书五千字就可以满绩。老师不签到,不考勤，没有平时作业,手写五千字论文,90
