satisfaction,suggestions,timestamp,curricula,accept,expectation
True,好上加好,2024-09-01T17:09:41.169Z,,,
,,2024-09-02T13:07:28.882Z,,,
True,,2024-09-02T13:19:05.567Z,,,
,,2024-09-02T14:17:52.745Z,True,给分,6.5
,,2024-09-02T14:29:15.142Z,True,教学,6.5
,,2024-09-02T14:29:47.896Z,True,教学,8.0
,,2024-09-02T14:31:47.284Z,True,教学,9.0
,,2024-09-13T06:31:15.469Z,False,教学,4.0
,,2024-09-13T06:36:48.312Z,True,教学,6.5
,,2024-09-13T06:40:55.973Z,True,教学,4.5
,,2024-09-13T06:48:05.495Z,True,给分,4.0
,更明确的选择,2024-09-13T06:54:34.610Z,True,给分,5.0
,,2024-09-13T06:55:09.761Z,True,教学,5.0
,,2024-09-13T06:58:41.451Z,False,给分,7.0
,,2024-09-13T07:09:17.691Z,True,给分,6.0
,,2024-09-13T07:48:34.141Z,False,教学,6.5
,,2024-09-13T08:01:03.962Z,True,给分,9.0
,,2024-09-13T08:05:28.070Z,True,教学,6.0
,好,2024-09-13T08:17:33.401Z,True,教学,7.0
,,2024-09-13T08:20:40.693Z,False,给分,9.0
,,2024-09-13T08:32:53.186Z,True,教学,5.5
,,2024-09-13T08:40:26.620Z,True,给分,3.5
,,2024-09-13T09:01:59.031Z,True,教学,4.5
,,2024-09-13T09:02:16.548Z,True,教学,4.5
,,2024-09-13T10:09:15.575Z,True,教学,4.5
,,2024-09-13T10:13:42.318Z,True,教学,8.5
,综合考虑，理性选择，不后悔,2024-09-13T10:56:07.880Z,True,教学,7.0
,"知道注意事项
",2024-09-13T11:07:49.637Z,True,教学,9.5
,让我选到更适合自己的课,2024-09-13T11:07:57.836Z,False,给分,9.5
,给出一些实际的指导意见,2024-09-13T11:15:22.279Z,False,教学,5.5
,学生可以选到上课有趣的老师，给分较高的老师,2024-09-13T11:16:29.543Z,False,教学,4.5
,,2024-09-13T11:19:55.094Z,False,给分,3.5
,,2024-09-13T11:20:08.815Z,False,给分,8.0
,,2024-09-13T11:20:42.696Z,False,给分,4.0
,,2024-09-13T11:30:14.007Z,True,教学,10.0
,选到给分较好的老师帮助满足出国GPA……,2024-09-13T11:46:33.973Z,True,给分,6.0
,希望能选到好课,2024-09-13T11:47:52.675Z,True,给分,6.0
,帮助新生了解老师上课风格以及需要做的准备,2024-09-13T11:59:20.535Z,False,教学,6.0
,,2024-09-13T12:08:52.790Z,True,教学,5.5
,,2024-09-13T12:25:36.043Z,False,给分,7.0
,帮助选课退课换课,2024-09-13T12:34:34.949Z,False,给分,3.0
,,2024-09-13T12:36:52.924Z,True,教学,9.0
,,2024-09-13T12:48:20.162Z,True,给分,5.5
,,2024-09-13T12:55:47.026Z,True,给分,6.5
,,2024-09-13T13:47:57.603Z,True,教学,7.0
,,2024-09-13T13:49:29.755Z,True,给分,6.0
,给予学生风向标,2024-09-13T13:52:23.124Z,True,给分,10.0
,,2024-09-13T14:01:53.369Z,True,给分,5.5
,,2024-09-13T14:05:11.271Z,True,给分,4.5
,帮助新生迅速了解每门课与不同老师的教学风格,2024-09-13T14:05:19.491Z,False,教学,8.5
,,2024-09-13T14:07:35.481Z,True,教学,5.5
,,2024-09-13T14:20:13.880Z,True,教学,3.0
,,2024-09-13T14:46:16.771Z,True,给分,5.0
,让我们更了解课程,2024-09-13T14:48:49.962Z,True,给分,6.0
,,2024-09-13T14:55:07.580Z,True,给分,9.0
,,2024-09-13T14:55:29.259Z,False,教学,7.5
,帮助了解选课、能选好课,2024-09-13T14:58:44.346Z,False,教学,5.0
,帮助大家有心理准备,2024-09-13T15:00:11.993Z,True,教学,5.0
,帮助避雷,2024-09-13T15:03:25.165Z,True,给分,4.0
,希望能帮助我选到讲课水平更高的老师,2024-09-13T15:03:35.289Z,False,教学,6.0
,"帮我选到讲课水平高的老师
",2024-09-13T15:06:30.776Z,False,教学,9.5
,,2024-09-13T15:07:42.910Z,True,教学,6.5
,呈现更真实的更符合学生需求的选课数据,2024-09-13T15:10:22.034Z,True,给分,8.5
,,2024-09-13T15:13:11.460Z,False,给分,7.0
,,2024-09-13T15:20:35.650Z,True,给分,4.5
,,2024-09-13T15:24:29.853Z,True,教学,5.5
,希望能客观全面评价课程,2024-09-13T15:29:29.868Z,False,教学,5.0
,,2024-09-13T15:31:48.408Z,False,教学,4.0
,,2024-09-13T15:40:32.422Z,False,给分,8.0
,避雷不好的老师,2024-09-13T16:21:58.695Z,True,给分,3.0
,谢谢,2024-09-13T23:14:20.884Z,True,给分,3.5
,,2024-09-13T23:48:32.067Z,True,教学,6.0
,了解老师的考核方式与给分,2024-09-14T00:11:36.184Z,True,教学,7.0
,,2024-09-14T00:51:57.058Z,True,给分,7.0
,,2024-09-14T00:51:59.824Z,True,给分,7.0
,,2024-09-14T01:13:47.955Z,False,教学,8.0
,,2024-09-14T01:20:17.908Z,True,教学,8.5
,,2024-09-14T01:49:59.748Z,True,教学,10.0
,,2024-09-14T01:54:00.245Z,True,教学,8.0
,给分和教学水准都写一下吧~,2024-09-14T01:58:52.150Z,True,教学,10.0
,,2024-09-14T02:01:27.409Z,True,给分,4.5
,,2024-09-14T02:06:16.580Z,True,给分,6.0
,最好在教学水平和给分好坏上都要兼顾,2024-09-14T02:30:29.010Z,True,给分,8.0
,,2024-09-14T02:48:06.881Z,False,给分,2.0
,,2024-09-14T02:50:46.375Z,True,给分,5.0
,让我找到幽默风趣上课好玩还有干货的老师。,2024-09-14T02:56:58.241Z,True,教学,5.5
,,2024-09-14T03:29:29.439Z,True,给分,6.0
,提供老师给分和试卷难度,2024-09-14T03:30:00.891Z,False,给分,5.0
,,2024-09-14T03:44:55.251Z,True,给分,4.5
,可以看到历届学长学姐们的评价，汇总，帮助避雷一些表面功夫的老师,2024-09-14T04:03:34.836Z,False,给分,6.0
,希望可以帮助我更好的安排自己的课程,2024-09-14T04:14:41.881Z,True,教学,5.5
,指导性意见,2024-09-14T04:24:42.464Z,True,教学,6.0
,,2024-09-14T04:25:12.119Z,False,给分,5.5
,,2024-09-14T04:37:15.889Z,True,教学,8.0
,,2024-09-14T04:38:57.143Z,False,教学,5.5
,找到更好的老师,2024-09-14T04:46:55.883Z,True,教学,5.0
,善意提醒,2024-09-14T05:02:23.106Z,True,给分,10.0
,,2024-09-14T05:28:42.215Z,True,教学,4.5
,,2024-09-14T05:35:04.639Z,False,教学,7.0
,帮忙选课,2024-09-14T05:38:40.868Z,False,给分,4.5
,,2024-09-14T05:54:46.704Z,True,教学,5.0
,,2024-09-14T06:02:08.757Z,True,教学,6.0
,,2024-09-14T06:19:09.911Z,True,给分,5.0
,,2024-09-14T06:54:20.613Z,True,给分,5.0
,,2024-09-14T07:01:16.375Z,True,教学,7.0
